cod_ant;entidad
2311;2
140;32
102;102
103;103
104;104
105;105
106;106
108;108
109;109
111;111
112;112
113;113
114;114
115;115
116;116
118;118
119;119
120;120
121;121
122;122
123;123
124;124
125;125
126;126
127;127
130;130
131;131
132;132
133;133
135;135
136;136
137;137
138;138
141;141
143;143
144;144
145;145
148;148
149;149
150;150
151;151
154;154
155;155
156;156
158;158
160;160
161;161
163;163
164;164
165;165
168;168
169;169
171;171
172;172
173;173
174;174
175;175
179;179
180;180
181;181
186;186
187;187
188;188
189;189
191;191
192;192
200;200
202;202
206;206
208;208
209;209
211;211
212;212
213;213
215;215
217;217
219;219
220;220
222;222
223;223
232;232
233;233
235;235
236;236
237;237
239;239
240;240
241;241
242;242
244;244
245;245
246;246
247;247
248;248
251;251
252;252
1231;256
257;257
258;258
259;259
260;260
261;261
262;262
263;263
264;264
265;265
266;266
267;267
268;268
269;269
270;270
271;271
272;272
273;273
274;274
275;275
276;276
277;277
278;278
280;280
282;282
283;283
284;284
285;285
286;286
288;288
289;289
290;290
292;292
293;293
294;294
297;297
298;298
299;299
300;300
302;302
303;303
304;304
305;305
306;306
307;307
308;308
309;309
311;311
314;314
316;316
318;318
319;319
320;320
321;321
322;322
323;323
328;328
329;329
331;331
332;332
333;333
334;334
335;335
336;336
338;338
340;340
344;344
345;345
346;346
347;347
348;348
350;350
351;351
352;352
355;355
903;356
358;358
359;359
360;360
361;361
362;362
363;363
364;364
365;365
366;366
367;367
368;368
369;369
370;370
371;371
377;377
378;378
379;379
380;380
382;382
384;384
385;385
849;386
387;387
388;388
390;390
391;391
392;392
393;393
395;395
396;396
397;397
399;399
400;400
401;401
403;403
317;409
410;410
411;411
412;412
413;413
414;414
416;416
417;417
419;419
421;421
422;422
423;423
424;424
425;425
426;426
427;427
429;429
430;430
431;431
432;432
433;433
434;434
444;444
446;446
449;449
450;450
451;451
454;454
457;457
458;458
459;459
460;460
461;461
462;462
465;465
466;466
467;467
468;468
471;471
472;472
473;473
474;474
475;475
476;476
477;477
478;478
479;479
480;480
481;481
482;482
483;483
487;487
488;488
489;489
490;490
491;491
492;492
494;494
496;496
498;498
505;505
507;507
508;508
511;511
512;512
518;518
519;519
522;522
523;523
524;524
525;525
527;527
529;529
530;530
531;531
9793;532
534;534
535;535
536;536
537;537
539;539
540;540
541;541
543;543
544;544
547;547
549;549
550;550
551;551
552;552
554;554
557;557
560;560
561;561
562;562
563;563
564;564
565;565
566;566
567;567
568;568
569;569
570;570
572;572
573;573
574;574
576;576
577;577
578;578
579;579
580;580
581;581
584;584
585;585
586;586
587;587
588;588
589;589
590;590
591;591
592;592
594;594
596;596
598;598
599;599
601;601
602;602
603;603
604;604
607;607
609;609
612;612
613;613
614;614
615;615
616;616
617;617
618;618
620;620
623;623
624;624
625;625
626;626
627;627
630;630
631;631
632;632
633;633
634;634
636;636
637;637
638;638
639;639
640;640
641;641
642;642
643;643
644;644
645;645
646;646
647;647
648;648
649;649
650;650
652;652
653;653
654;654
665;665
666;666
668;668
669;669
670;670
671;671
673;673
676;676
677;677
678;678
679;679
681;681
682;682
683;683
685;685
686;686
687;687
688;688
689;689
690;690
693;693
694;694
695;695
696;696
697;697
698;698
699;699
700;700
701;701
703;703
704;704
705;705
706;706
707;707
708;708
711;711
712;712
254;713
715;715
716;716
718;718
719;719
720;720
721;721
722;722
723;723
724;724
726;726
727;727
728;728
730;730
731;731
732;732
734;734
736;736
737;737
739;739
740;740
741;741
742;742
743;743
744;744
745;745
746;746
747;747
748;748
750;750
751;751
752;752
753;753
754;754
757;757
758;758
759;759
760;760
761;761
762;762
763;763
764;764
765;765
766;766
770;770
771;771
772;772
775;775
776;776
777;777
778;778
779;779
780;780
781;781
782;782
783;783
784;784
785;785
791;791
792;792
793;793
794;794
795;795
798;798
800;800
801;801
806;806
807;807
808;808
809;809
810;810
811;811
812;812
813;813
814;814
815;815
816;816
818;818
819;819
820;820
821;821
822;822
823;823
824;824
825;825
826;826
828;828
830;830
831;831
833;833
835;835
836;836
837;837
838;838
839;839
841;841
842;842
847;847
515;858
506;859
861;861
862;862
864;864
865;865
866;866
867;867
868;868
869;869
870;870
871;871
872;872
873;873
874;874
875;875
876;876
877;877
878;878
880;880
881;881
882;882
883;883
884;884
885;885
886;886
887;887
888;888
890;890
891;891
892;892
894;894
895;895
330;896
899;899
900;900
901;901
902;902
904;904
905;905
906;906
910;910
911;911
912;912
832;913
914;914
915;915
916;916
917;917
919;919
920;920
921;921
923;923
924;924
925;925
926;926
927;927
929;929
931;931
932;932
934;934
935;935
938;938
939;939
940;940
942;942
944;944
945;945
946;946
947;947
216;949
950;950
951;951
952;952
954;954
955;955
956;956
957;957
958;958
959;959
961;961
963;963
964;964
965;965
966;966
968;968
969;969
970;970
971;971
972;972
975;975
976;976
977;977
978;978
979;979
980;980
982;982
983;983
984;984
985;985
986;986
922;987
990;990
991;991
994;994
995;995
996;996
997;997
998;998
999;999
1001;1001
9912;1002
1003;1003
1004;1004
1005;1005
1006;1006
1007;1007
1008;1008
1009;1009
134;1015
1018;1018
1024;1024
1028;1028
1030;1030
1031;1031
1032;1032
1036;1036
1038;1038
1039;1039
1041;1041
1042;1042
1043;1043
1046;1046
1048;1048
1049;1049
1055;1055
1056;1056
1057;1057
1063;1063
1064;1064
943;1066
1069;1069
1071;1071
1075;1075
1076;1076
1077;1077
1079;1079
1080;1080
1084;1084
1085;1085
1086;1086
1102;1102
1103;1103
1104;1104
1105;1105
1106;1106
1107;1107
1109;1109
1110;1110
1111;1111
1112;1112
1115;1115
1116;1116
1117;1117
1118;1118
1119;1119
1120;1120
1121;1121
1123;1123
1124;1124
1125;1125
1126;1126
1127;1127
1128;1128
1129;1129
1130;1130
1131;1131
1132;1132
1133;1133
1134;1134
1135;1135
1136;1136
1137;1137
1138;1138
1139;1139
1140;1140
1141;1141
1143;1143
1147;1147
1148;1148
1150;1150
190;1151
1152;1152
1154;1154
1155;1155
1156;1156
1157;1157
1158;1158
1160;1160
1161;1161
1163;1163
1164;1164
1165;1165
1166;1166
1167;1167
1168;1168
1169;1169
1172;1172
1173;1173
1174;1174
1175;1175
1176;1176
1178;1178
1179;1179
1180;1180
1181;1181
1182;1182
1183;1183
1184;1184
1185;1185
1186;1186
1187;1187
1188;1188
1190;1190
1192;1192
1194;1194
1195;1195
1197;1197
1199;1199
1200;1200
1201;1201
1202;1202
1203;1203
1204;1204
1205;1205
1206;1206
1207;1207
1208;1208
1210;1210
1211;1211
1212;1212
1213;1213
1214;1214
1215;1215
1216;1216
1217;1217
1218;1218
1219;1219
1220;1220
1221;1221
1223;1223
1224;1224
1226;1226
1227;1227
1228;1228
1229;1229
1230;1230
1233;1233
1234;1234
1237;1237
1238;1238
1242;1242
1243;1243
1244;1244
1246;1246
1247;1247
1248;1248
1249;1249
1250;1250
1251;1251
1252;1252
1253;1253
1254;1254
1255;1255
1256;1256
1290;1290
1297;1297
1298;1298
1300;1300
1301;1301
1302;1302
1309;1309
1321;1321
1335;1335
1336;1336
1337;1337
1341;1341
1342;1342
1343;1343
1344;1344
1345;1345
1346;1346
1347;1347
1348;1348
1350;1350
1351;1351
1352;1352
1355;1355
1356;1356
1357;1357
1358;1358
1359;1359
1360;1360
1361;1361
1362;1362
1363;1363
1364;1364
1365;1365
1366;1366
1367;1367
1368;1368
1370;1370
1371;1371
1375;1375
1377;1377
1378;1378
1379;1379
1381;1381
930;2001
327;2130
622;2176
526;2185
1054;2217
1078;2233
415;2235
680;2253
2311;2311
691;2379
796;2408
1232;2432
2536;2536
909;3030
420;3200
827;4000
128;5755
182;5757
183;5758
253;5761
279;5763
312;5764
394;5765
394;5766
435;5767
516;5768
533;5769
553;5770
555;5771
610;5772
702;5773
805;5774
843;5775
843;5776
844;5777
844;5778
845;5779
845;5780
848;5782
849;5784
850;5785
850;5786
851;5788
852;5789
852;5790
853;5792
854;5793
854;5794
855;5795
855;5796
856;5798
857;5799
973;5801
974;5802
1010;5803
1011;5804
1013;5806
1014;5807
1015;5808
1016;5809
1019;5811
1020;5812
1021;5813
1027;5817
1029;5818
1035;5821
1045;5824
1047;5825
1050;5827
1051;5828
1052;5829
1058;5832
1060;5833
1061;5834
1062;5835
1065;5836
1066;5837
1067;5838
1068;5839
1073;5842
1074;5843
1081;5844
1082;5845
1083;5846
1087;5847
1090;5849
1091;5850
1092;5851
1095;5852
1096;5853
1097;5854
1098;5855
1101;5858
1303;5859
1303;5860
